"BARRIOS, Miguel Angel",PS,Santa Fe,0,1,1,1,1,1,1,1,1,1,0,9,1,1,1,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,
"BASTEIRO, Sergio Ariel",OTROS,Buenos Aires,0,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
"BASTERRA, Luis Eugenio",FPV,Formosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BAZZE, Miguel",UCR,Buenos Aires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"BEDANO, Nora Esther",FPV,Cordoba,0,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BELOUS, Nelida",OTROS,Tierra del Fuego,0,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,,
"BENAS, Veronica Claudia",OTROS,Santa Fe,0,1,9,1,2,1,1,1,0,0,0,1,1,1,1,9,1,1,1,1,1,9,1,9,0,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
"BENEDETTI, Atilio",UCR,Entre Rios,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"BERNAL, Maria Eugenia",FPV,Jujuy,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BERTOL, Paula Maria",PRO,Cdad. Aut. Bs. As.,1,2,1,1,1,1,1,1,1,1,9,1,1,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,2,2
"BERTONE, Rosana Andrea",FPV,Tierra del Fuego,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BIANCHI, Ivana Maria",FPER,San Luis,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,9,1,1,9,0,0,0,0,1,1,0,1,0,1,1,1,2,2
"BIANCHI, Maria del Carmen",FPV,San Luis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BIDEGAIN, Gloria",FPV,Buenos Aires,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BIELLA, Bernardo Jose",OTROS,Salta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,2,2,2,2,2
